DHSCLUST,Total_Road_Length,Main_Roads_Length,Secondary_Roads_Length,Local_Roads_Length,Tracks_Length,Total_Bldg_Count,Bldg_residential_Count,Bldg_commercial_Count,Bldg_industrial_Count,Bldg_school_Count,Bldg_hospital_Count,Total_Bldg_Area,Total_POI_Count,POI_bank_Count,POI_hotel_Count,POI_fast_food_Count,POI_convenience_Count,POI_school_Count,POI_hospital_Count
609,97.7333560679552,10.790470452294228,0.150813458788752,51.65602655612081,35.13604560075143,4507,0,0,0,0,0,388894.3873343713,5,0,3,0,0,0,0
610,182.11730349507073,10.136344072820847,40.985007671972156,127.50591415926105,1.5393803448828232,13203,0,0,0,0,0,1460459.167495205,102,6,6,5,8,0,0
611,74.09978279414453,0.7217926466170863,18.652092021277852,48.93559773108144,5.754911925843067,4406,0,0,0,0,0,383070.72766013263,11,1,2,0,2,0,0
612,70.87098754393101,0.0,15.874826676926881,52.99291224888705,0.7747292348024472,2419,0,0,0,0,0,217532.16461842408,8,0,0,0,3,1,0
613,268.5013944169701,9.410331592699078,27.730912383771503,205.97083740549195,17.423873144229336,14637,0,0,0,0,0,1397094.8182080048,108,0,1,1,55,1,0
614,122.32149796774107,9.884739195625192,11.433580702208825,80.52481768619899,14.300867470465453,3798,0,0,0,0,0,455014.2676608525,12,1,2,0,1,1,0
615,48.275433256128004,11.278671650128224,0.6128210906243464,35.387840876553014,0.0,3430,0,0,0,0,0,268103.67210483353,3,0,0,0,0,0,0
616,165.08240650796802,9.70141525527063,32.315704743877134,119.19922649346056,2.2555125781982874,12015,0,0,0,0,0,1324934.603876094,95,6,6,5,8,0,0
617,42.78986033478526,0.0,8.921817694291999,7.473788959341676,26.394253681151586,432,0,0,0,0,0,29225.968404054838,0,0,0,0,0,0,0
618,168.37468710825416,10.740353213576215,18.75072979744906,132.4703859892705,6.413218107958369,6267,0,0,0,0,0,654274.5069675952,47,1,6,0,2,1,0
619,101.87728770133428,4.414241996819979,8.695275531688585,68.70687287358561,2.635179284198979,10329,0,0,0,0,0,810225.8832334989,270,0,13,5,36,3,0
620,218.23965782143821,11.502741377362197,46.65875191144097,149.08936775931537,10.632334451884029,5848,0,0,0,0,0,602539.8342395595,31,0,1,0,2,1,0
621,184.53293770308943,13.861329845583397,15.72970881818053,148.76161046870942,1.6658109485953383,20607,0,0,0,0,0,1775056.4687779509,152,12,1,15,18,6,0
622,243.98126580064823,7.152623069952519,16.358077685734465,184.94474622026422,7.58980415661949,18024,0,0,0,0,0,1719956.4358783416,552,19,4,52,39,0,2
623,29.4896217953465,2.9791760677196195,3.210247782208124,21.251182006139985,2.0425218621930092,3287,0,0,0,0,0,241123.83550576697,22,0,0,1,18,0,0
624,612.3724504434442,55.54810558000852,37.054648060297424,489.55049272190513,21.661159591546525,38066,0,0,0,0,0,4347109.858297357,518,18,2,27,195,4,1
625,249.6299106065432,13.885615293866909,29.53552733513664,195.87031849144697,7.816766525473972,17773,0,0,0,0,0,2834867.5000525927,62,1,2,5,6,8,0
626,45.888935646691216,3.8187555712169727,9.263067233124135,24.478596285872946,8.220723881839803,2762,0,0,0,0,0,216215.6417731138,7,0,0,0,2,0,0
627,340.0639759745332,9.853164966728315,77.58846771338027,238.57659315332646,9.581060068241484,28465,0,0,0,0,0,2884016.38391749,667,27,8,23,349,11,5
628,129.6215840848976,9.709295620123958,8.728955253754908,107.05756623770985,1.369391137622052,8245,0,0,0,0,0,981255.5400460353,24,0,0,1,8,1,0
629,262.7269860807954,15.312973204247928,20.413841293467105,210.1124228341129,14.88950596125562,15627,0,0,0,0,0,1678826.228195664,206,7,6,10,101,8,1
630,62.11886770513966,3.823308278394389,7.3711218915306755,48.642510523722514,2.0856377474382635,3713,0,0,0,0,0,484047.0822953487,44,2,0,6,2,1,0
631,320.48786217700786,15.008228211892343,53.22152554812776,230.35770131686027,19.88956219324788,19578,0,0,0,0,0,2021695.026958168,300,0,1,2,262,3,0
632,314.4083251490169,10.035169267524866,34.46552790985748,264.60301382201135,3.907206152915586,8922,0,0,0,0,0,1084992.248893457,64,6,0,4,15,2,1
633,226.49195276359086,0.0,29.06108955699243,190.13549715284555,1.5865428374054347,15244,0,0,0,0,0,1151508.7460742346,107,1,0,5,17,7,0
634,283.6341295681363,20.08540679859164,20.452132758393823,216.79000401658953,6.439053102658157,33877,0,0,0,0,0,3516010.157100739,558,44,0,73,70,13,0
635,293.7618491017126,4.4693319636406486,31.380003402870422,253.16777130005113,2.167575468522319,30090,0,0,0,0,0,2447355.1718612798,230,6,0,9,42,6,1
636,238.147683691917,2.2612371929849764,47.4458662056734,140.1487005105795,42.22809435560496,7528,0,0,0,0,0,774472.8378808,45,0,0,6,6,1,0
637,522.7777493271967,18.138240071034364,86.24648690735623,368.01749426090515,28.84937283552884,19927,0,0,0,0,0,2291572.981451417,433,9,19,34,43,7,0
638,210.08525301703028,8.959371007046617,53.74862061825177,111.66795012978807,35.43263940820708,6612,0,0,0,0,0,753675.039311796,52,0,1,0,32,0,0
639,349.41301384736073,3.3903351443419623,51.68958548825326,221.19403177107296,4.321944747736213,40083,0,0,0,0,0,2567190.046196601,335,3,1,7,30,0,0
640,281.46950237490466,6.246796039223971,33.633285987824316,209.76516893886438,7.956893458917074,25876,0,0,0,0,0,1701063.7641109522,237,2,1,15,37,2,0
641,258.17903285319545,7.659642802583414,34.39130905291564,171.99679760575498,6.908685431685904,31000,0,0,0,0,0,1824752.531003517,98,2,0,4,18,0,0
642,361.99779200977275,14.273072313842798,33.05740337150045,306.87004398434095,6.332483231463686,17466,0,0,0,0,0,1852616.2940661,115,5,0,8,22,6,1
643,1426.5010562128928,22.731065989819466,197.59314196349226,1105.1122834017503,29.465840261151,136653,0,0,0,0,0,11829271.369532619,1699,42,9,159,176,17,3
644,188.9397334008403,5.108382701109076,17.727614044992528,156.39466788747657,1.8929019315343827,12586,0,0,0,0,0,1772810.777084585,128,2,1,12,9,11,1
645,38.272870667835825,2.655431563808629,8.06483472658496,14.639711946006603,10.670114630392662,810,0,0,0,0,0,100874.11343475452,107,4,2,4,22,0,0
646,205.40862611208308,0.0,28.259264797283798,170.0076295038138,2.6900972263348986,2287,0,0,0,0,0,956385.0544708255,179,2,0,10,48,4,0
647,234.6358171552738,3.6937659031390235,46.76061116410635,177.2331047438954,5.790415357836587,1675,0,0,0,0,0,371642.2822307268,102,1,0,0,58,3,0
648,211.52328605051187,8.83953883428959,12.436594826014039,185.09597947363835,1.4962653817638676,1710,0,0,0,0,0,949901.0788302806,123,2,0,8,25,2,0
649,201.72502272558097,8.916284542166256,17.932071549298705,162.91013665732183,3.888850541593458,2349,0,0,0,0,0,1043427.5489964674,99,6,0,7,15,3,0
650,153.01629176440318,3.6314157692592954,16.73460095638201,129.89548309351284,1.5322290873018456,2632,0,0,0,0,0,514855.23623249226,147,10,2,19,15,7,1
651,55.9742882456009,3.8112783343722407,7.379564865983617,43.13752853215259,0.025236794002424425,1942,0,0,0,0,0,284464.5730065955,66,3,0,4,8,1,0
652,69.56311552331763,0.0,15.098524573237885,50.99191903504015,1.8922907667254039,1404,0,0,0,0,0,181393.7981872214,16,0,0,0,15,0,0
653,405.1446705965535,16.517634560094848,52.23345775832205,307.2929883616823,9.930553690290083,10343,0,0,0,0,0,1622500.176003839,980,33,6,48,126,2,0
654,204.12671933359454,9.260291936121895,17.99186971678197,166.55006702798335,2.4112814952039625,2272,0,0,0,0,0,936986.4319606448,92,6,0,7,13,2,0
655,117.46969005055824,0.0,11.150744995557059,106.31894505500121,0.0,230,0,0,0,0,0,43732.11925421904,51,0,0,0,36,3,0
656,179.47886381204853,2.4642689991198803,12.84399852190805,161.41233394572194,1.7029074371879014,1327,0,0,0,0,0,489806.60312952264,49,1,0,1,8,2,1
657,171.65338680544536,11.879949804162788,10.270460670599682,145.7707695515345,0.849404736342218,639,0,0,0,0,0,226542.97756182367,133,4,4,7,9,2,0
658,203.99495248488816,14.311478956214756,15.925870408694811,165.70634748318867,1.6481601509092665,1929,0,0,0,0,0,497540.7056649113,255,22,5,31,15,2,1
659,60.133567052955286,4.023649036312313,9.566620098533761,42.69466895355202,1.933220635084248,238,0,0,0,0,0,87557.33350390966,65,0,1,1,3,0,0
660,183.6683067123835,13.315483272096193,9.481825730635977,159.86638998834928,0.361193389873471,440,0,0,0,0,0,132824.96876829813,92,1,4,2,10,2,0
661,213.5787631718908,17.581557709483352,32.191596833855115,156.94290960798014,3.27770151429351,2002,0,0,0,0,0,473414.1288062021,301,30,5,23,19,7,1
